Depth,Year,Alkalinity,SRP,NH4,NO3,TN,TP,Chla
0.0,2013,380,22.5,59,0.13,1209.6,,10.01
1.0,2013,500,6.6,14,5.98,,52.59,
1.0,2013,370,8.4,5,2.19,1316.4,,4.88
2.0,2013,460,7,101,15.42,,39.35,33.1
2.0,2013,330,10,54,11.12,1244.4,,12.31
3.0,2013,500,7.7,291,6,,44.08,30.78
3.0,2013,390,8.3,180,19.29,1455.6,,6.22
4.0,2013,900,5.6,332,3.92,,12.57,47.03
4.0,2013,852,6.7,367,3.59,1525.2,,2.66
5.0,2013,820,7.1,438,4.71,,11.01,43.44
5.0,2013,748,4.2,439,2.51,1567.2,,15.75
6.0,2013,880,16.4,873,4.94,,9.34,30.9
6.0,2013,734,5.6,1158,3.55,2355.6,,23.4
7.0,2013,800,8.4,1569,7.71,,8.23,26.76
7.0,2013,836,10.8,1777,5.11,3001.2,,32.53
0.0,2014,40,6.9,19.5,10.94,,36.57,29.55
0.0,2014,280,3.4,25.3,0,904.8,,10.15
1.0,2014,260,9.1,20.2,0,,34,44.28
1.0,2014,160,3.8,18.4,0,554.4,,10.15
2.0,2014,140,5.1,4.9,0,,36.05,32.76
2.0,2014,80,12.5,95.5,0,609.6,,13.27
3.0,2014,120,16.8,12.3,0.68,,35.9,42.89
3.0,2014,80,6.9,49.4,0,688.8,,12.6
4.0,2014,280,6.4,23.7,0,,87.75,143.78
4.0,2014,80,2.3,38.3,0,1191.6,,33.69
5.0,2014,200,4.1,144.4,0,,33.31,117.76
5.0,2014,120,8.4,26.5,9.6,730.8,,102.28
6.0,2014,280,3.6,1226.2,0,,16.8,94.14
6.0,2014,80,2.1,1777.5,19.4,2511.6,,44.42
7.0,2014,160,8.1,1749.9,0,,12.62,103.26
7.0,2014,120,8.2,2526.9,0.2,3176.4,,44.27
0.0,2015,80,4.5,23.8,23.51,,,19.62
1.0,2015,160,5.2,7.3,0.71,,,11.22
2.0,2015,360,6.8,11.2,12.95,,,17.11
3.0,2015,120,49.9,13.9,0.92,,,70.85
4.0,2015,100,5.1,230.2,3.61,,,87.86
5.0,2015,440,4.3,454.6,3.61,,,126.7
6.0,2015,100,3.3,1175.1,16.21,,,43.73
7.0,2015,160,3,2032.7,2.86,,,52.84
0.0,2016,560,18.45,88.7,24,952.8,58.66,42.8
1.0,2016,600,16.1,82.9,26,919.2,60,41.69
2.0,2016,400,15.75,64.1,41,987.6,63.38,20.23
3.0,2016,360,12.58,67.7,23,982.8,68.16,35.95
4.0,2016,440,10.46,72.3,25,978,71.41,43.35
5.0,2016,440,13.75,114,24,1000.8,62.42,30.73
6.0,2016,400,12.22,107.4,23,978,62.74,33.78
7.0,2016,480,13.16,98.5,24,955.2,47.56,42.95
0.0,2017,,,66,7.35,1004,38.22,38.86
1.0,2017,,,107,11.38,970,41.92,4.08
2.0,2017,,,106,7.43,880,32.77,29.9
3.0,2017,,,104,8.43,965,33.88,31.91
4.0,2017,,,114,8.29,916,33.5,22.59
5.0,2017,,,113,6.72,840,31.06,26.81
6.0,2017,,,122,7.57,864,34.89,23.6
7.0,2017,,,117,9.99,834,34.95,12.88
0.0,2018,,4.41,378.1,103.98,2850,218,44.91
1.0,2018,,4.41,331.2,71.45,2720,231,93.13
2.0,2018,,2.86,396.5,52.86,3130,253,42.56
3.0,2018,,7.5,350.4,121.11,2910,253,58.62
4.0,2018,,9.05,389.8,74.1,3010,256,35.58
5.0,2018,,5.96,424.6,63.87,2790,256,30.45
6.0,2018,,5.96,408.6,59.7,3050,267,37.49
7.0,2018,,12.14,371.8,67.87,2820,253,41.31
0.0,2019,880,1.14,,,832.72,27.25,30.885
1.0,2019,560,6.61,,,,,31.916
2.0,2019,600,6.15,,,888.24,27.5,34.977
3.0,2019,196,12.54,,,,,27.168
4.0,2019,800,15.95,,,,,60.982
5.0,2019,560,8.66,,,,,45.114
6.0,2019,760,11.4,,,,,35.425
7.0,2019,1140,30.08,,,,,15.694
